Sentences,Categorie
She won't listen to anything I say.,3
I will not be in the office tomorrow,3
They will not stay here,3
We have a lesson next Monday.,3
The train arrives at 6.30 in the morning.,3
The holidays start next week.,3
It's my birthday tomorrow.,3
I'm playing football tomorrow.,3
They are coming to see us tomorrow.,3
We're having a party at Christmas.,3
It will be a nice day tomorrow.,3
I think Brazil will win the World Cup.,3
I'm sure you will enjoy the film.,3
I hope you will come to my party.,3
George says he will help us.,3
I'll see you tomorrow.,3
We'll send you an email.,3
Tim will be at the meeting.,3
Mary will help with the cooking.,3
I will not have been staying in India by next year.,3
He will have been dancing for two hours.,3
She will have been shopping for the whole day.,3
I will have been waiting here for three hours by six o’clock.,3
I will have been starting my startup since 2025.,3
By 2001 I will have been living in London for sixteen years.,3
She will have been learning to drive a scooter for one hour.,3
"When I finish this course, I will have been learning English for twenty years.",3
He will not have been going to the airport before 10 o’clock.,3
Next year I will have been working here for four years.,3
We will have been working on this project since January.,3
He will have been studying this book for three hours.,3
I will have been written articles on different topics before you come.,3
I will not have been laughing at him for the whole day.,3
Rohit will have been reading various kinds of books on this topic.,3
He will have been singing for the rest of the time.,3
They will have been running a business for ten years.,3
They will have been playing football in that field before you reach.,3
We will have been swimming in the resort’s swimming pool for three hours.,3
April will have been gossiping in the coffee shop before she comes here.,3
Sam will have been removing the waste from the backyard tomorrow.,3
We will have been shopping in that market before you come home.,3
We will have been conducting a surprise test today.,3
We will have been watching a movie in the Cineplex before you come.,3
Rosy will not have been studying for her upcoming semester.,3
You will have been shopping in that market before we come.,3
Will he have been enjoying outside for three months?,3
He will have been waiting for you since morning.,3
I will have been singing different kinds of songs before you join us.,3
He will have been reading the newspaper since this morning.,3
I will have been attending the program before I come here.,3
Will I have been going to work in the office?,3
We will have been using our computer for four days.,3
They will have been playing hockey in that field before you reach.,3
He will have been complaining to the plumber about this leakage problem?,3
The poet will have been writing a romantic poem before the program starts.,3
Will she have been eating dinner when I enter the room?,3
The lyricist will have been writing a realistic song for the film.,3
She will have been surprising him on his birthday.,3
